## RECSRecommendations Upload File,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.destinationCode,entity.sourceCode,entity.currency,entity.language,entity.sku,entity.date,entity.custom9,entity.custom10
30001,Riyadh,NonKSA,An ancient fortress that symbolizes Saudi Arabia's unification ,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Riyadh.jpg,800,https://www.riyadhair.com/en/discover-riyadh,600,10.25,RUH,UAE,USD,en,RUH-UAE-121,18-09-2024,,
30002,Dubai,NonKSA,"Going to Dubai, be back never",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Dubai.jpg,300,https://www.riyadhair.com/en/discover-riyadh,600,5.25,RUH,UAE,USD,en,RUH-UAE-122,25-09-2024,,
30003,Muscat,NonKSA,Warm hospitality and ancient history,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Muscat.jpg,400,https://www.riyadhair.com/en/discover-riyadh,600,6.5,RUH,MCT,USD,en,RUH-MCT-123,22-09-2024,,
30004,London,NonKSA,Vibrant experience in the heart of London,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/London.jpg,550,https://www.riyadhair.com/en/discover-riyadh,600,20.55,RUH,LHR,USD,en,RUH-LHR-124,26-11-2024,,
30005,Paris,NonKSA,"When in doubt, go to Paris",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Paris.jpg,600,https://www.riyadhair.com/en/discover-riyadh,600,10.25,RUH,CDG,USD,en,RUH-CDG-125,18-09-2024,,
30006,New York,NonKSA,New York is where the future comes to audition,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/New%20York.jpg,900,https://www.riyadhair.com/en/discover-riyadh,600,5.25,RUH,JFK,USD,en,RUH-JFK-126,25-09-2024,,
30007,Tokyo,NonKSA,Doing this sweet thing called exploring Tokyo,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Tokyo.jpg,700,https://www.riyadhair.com/en/discover-riyadh,600,10.25,RUH,HND,USD,en,RUH-HND-127,18-09-2024,,
30008,الرياض,NonKSA,قلعة قديمة ترمز إلى توحيد المملكة العربية السعودية,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Riyadh.jpg,800,https://www.riyadhair.com/en/discover-riyadh,600,10.25,RUH,UAE,USD,ar,RUH-UAE-121,18-09-2024,,
30009,دبي,NonKSA,"الذهاب إلى دبي ، لن أعود أبدا",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Dubai.jpg,300,https://www.riyadhair.com/en/discover-riyadh,600,5.25,RUH,UAE,USD,ar,RUH-UAE-122,25-09-2024,,
30010,مسقط,NonKSA,كرم الضيافة والتاريخ القديم,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Muscat.jpg,400,https://www.riyadhair.com/en/discover-riyadh,600,6.5,RUH,MCT,USD,ar,RUH-MCT-123,22-09-2024,,
30011,لندن,NonKSA,تجربة نابضة بالحياة في قلب لندن,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/London.jpg,550,https://www.riyadhair.com/en/discover-riyadh,600,20.55,RUH,LHR,USD,ar,RUH-LHR-124,26-11-2024,,
30012,باريس,NonKSA,"عندما تكون في شك ، اذهب إلى باريس",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Paris.jpg,600,https://www.riyadhair.com/en/discover-riyadh,600,10.25,RUH,CDG,USD,ar,RUH-CDG-125,18-09-2024,,
30013,نيويورك,NonKSA,نيويورك هي المكان الذي يأتي فيه المستقبل إلى الاختبار,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/New%20York.jpg,900,https://www.riyadhair.com/en/discover-riyadh,600,5.25,RUH,JFK,USD,ar,RUH-JFK-126,25-09-2024,,
30014,طوكيو,NonKSA,القيام بهذا الشيء الجميل يسمى استكشاف طوكيو,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Tokyo.jpg,700,https://www.riyadhair.com/en/discover-riyadh,600,10.25,RUH,HND,USD,ar,RUH-HND-127,18-09-2024,,
